Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
13.03.2019;204,69000;206,00000;206,00000;203,80000;28536880
12.03.2019;206,50000;205,10000;206,89000;204,40000;42292620
11.03.2019;203,20000;205,25000;205,60000;202,56000;42484580
07.03.2019;205,10000;203,95000;206,67000;203,50000;46079750
06.03.2019;202,74000;205,00000;205,70000;202,60000;52940220
05.03.2019;204,90000;202,92000;204,90000;202,25000;46422920
04.03.2019;207,00000;205,50000;207,50000;205,25000;31661100
01.03.2019;208,48000;206,54000;209,00000;206,10000;46106110
28.02.2019;205,00000;207,80000;208,89000;204,16000;62340230
27.02.2019;206,05000;205,40000;206,90000;203,90000;54146260
26.02.2019;204,80000;205,80000;205,80000;202,90000;50829020
25.02.2019;205,50000;205,86000;208,60000;204,20000;70929780
22.02.2019;203,61000;205,25000;206,10000;203,03000;45768640
21.02.2019;207,55000;203,41000;207,87000;202,30000;68159040
20.02.2019;203,90000;206,89000;206,89000;203,23000;66813180
19.02.2019;203,60000;202,08000;205,60000;201,10000;66705090
18.02.2019;208,83000;204,19000;209,73000;203,20000;76658220
15.02.2019;205,92000;208,00000;209,00000;205,52000;79213270
14.02.2019;208,50000;204,43000;209,85000;201,70000;155830530
13.02.2019;219,62000;213,90000;220,70000;213,10000;85228940
12.02.2019;214,80000;219,10000;219,45000;214,60000;73724050
11.02.2019;211,00000;214,00000;214,72000;210,83000;49657780
08.02.2019;210,00000;210,43000;211,93000;208,70000;51799020
07.02.2019;216,00000;211,01000;216,65000;210,60000;69248500
06.02.2019;217,90000;216,59000;218,15000;215,41000;46155500
05.02.2019;216,00000;217,85000;218,55000;214,61000;46690970
04.02.2019;216,25000;215,50000;217,14000;215,06000;40925530
01.02.2019;218,00000;216,29000;218,70000;215,01000;55512060
31.01.2019;215,17000;217,90000;218,10000;214,67000;80344740
30.01.2019;213,80000;213,14000;215,70000;212,22000;59319900
29.01.2019;209,71000;213,61000;214,49000;206,91000;63963210
28.01.2019;212,00000;209,70000;213,30000;207,63000;56537300
25.01.2019;212,76000;212,00000;214,14000;211,01000;58844660
24.01.2019;210,40000;212,20000;213,43000;208,55000;78537190
23.01.2019;207,78000;210,40000;212,00000;207,52000;79765560
22.01.2019;206,66000;207,95000;208,88000;205,63000;51361560
21.01.2019;208,91000;207,17000;210,20000;207,17000;55523010
18.01.2019;204,60000;208,44000;208,44000;203,83000;74335240
17.01.2019;201,66000;203,32000;203,55000;201,05000;59989420
16.01.2019;198,64000;201,26000;201,30000;198,02000;62469270
15.01.2019;197,40000;198,00000;198,84000;195,91000;53217180
14.01.2019;195,70000;196,80000;197,44000;194,00000;44774070
11.01.2019;197,11000;196,80000;198,96000;195,61000;63811140
10.01.2019;196,25000;196,75000;197,64000;195,03000;56378780
09.01.2019;192,71000;197,00000;197,00000;192,10000;70707820
08.01.2019;191,65000;191,24000;193,18000;190,37000;38856560
04.01.2019;188,00000;190,99000;190,99000;187,77000;32583360
03.01.2019;186,37000;186,99000;191,50000;186,00000;40249190
29.12.2018;186,90000;186,30000;187,00000;185,31000;9167600
28.12.2018;185,78000;186,50000;187,22000;184,98000;39831090
27.12.2018;187,40000;185,00000;187,40000;184,18000;47527120
26.12.2018;183,90000;183,40000;185,50000;182,35000;30129900
25.12.2018;182,42000;183,30000;183,47000;179,04000;34732450
24.12.2018;186,10000;184,30000;187,26000;183,51000;32587550
21.12.2018;188,74000;186,79000;190,05000;185,70000;60633190
20.12.2018;186,00000;189,30000;191,82000;185,31000;88123070
19.12.2018;185,50000;188,85000;188,85000;184,35000;61953220
18.12.2018;180,59000;186,60000;186,60000;180,37000;80342620
17.12.2018;184,63000;182,30000;186,96000;182,11000;59876690
14.12.2018;188,50000;184,93000;189,10000;183,73000;73307750
13.12.2018;190,25000;189,17000;191,55000;188,56000;43510520
12.12.2018;193,30000;190,45000;193,90000;190,45000;50988040
11.12.2018;192,15000;192,57000;193,80000;190,20000;54872050
10.12.2018;192,75000;191,80000;193,92000;190,39000;61815010
07.12.2018;193,50000;195,01000;196,35000;192,20000;64007740
06.12.2018;194,00000;192,19000;194,23000;190,11000;64556990
05.12.2018;195,70000;196,00000;196,80000;194,05000;49771400
04.12.2018;200,30000;199,00000;200,70000;196,93000;58006750
03.12.2018;197,99000;200,30000;201,90000;197,58000;81820020
30.11.2018;194,00000;194,00000;194,25000;191,22000;67411490
29.11.2018;191,85000;195,76000;196,37000;191,10000;83234570
28.11.2018;191,60000;190,20000;193,27000;189,45000;60383880
27.11.2018;189,98000;191,03000;192,45000;188,11000;87812910
26.11.2018;197,50000;188,50000;197,79000;185,53000;117412600
23.11.2018;198,58000;197,30000;198,77000;194,86000;50984250
22.11.2018;198,00000;199,40000;200,01000;195,92000;49731020
21.11.2018;194,21000;197,50000;198,40000;193,38000;58475250
20.11.2018;197,30000;194,21000;197,80000;191,81000;66392190
19.11.2018;;197,99000;200,70000;197,50000;50559670
16.11.2018;201,12000;199,26000;203,50000;198,71000;66434280
15.11.2018;200,01000;200,15000;202,50000;199,50000;62376350
14.11.2018;195,21000;199,20000;199,56000;193,18000;83071810
13.11.2018;195,50000;196,56000;199,70000;193,68000;78638020
12.11.2018;197,97000;196,82000;201,85000;196,40000;82362260
09.11.2018;200,32000;195,75000;201,96000;194,33000;96097970
08.11.2018;201,98000;202,89000;204,70000;200,10000;94736930
07.11.2018;197,41000;201,90000;203,00000;195,40000;98634400
06.11.2018;194,50000;197,80000;197,85000;193,73000;65904630
02.11.2018;189,99000;192,60000;192,98000;188,57000;69325930
01.11.2018;189,50000;188,67000;191,36000;186,70000;77588390
31.10.2018;186,20000;189,80000;189,80000;184,83000;66890490
30.10.2018;183,88000;184,78000;186,82000;181,74000;61227000
29.10.2018;180,60000;185,59000;186,30000;178,64000;61368040
26.10.2018;185,77000;181,00000;185,85000;178,27000;92868230
25.10.2018;185,51000;186,71000;188,75000;184,03000;80112060
24.10.2018;182,50000;188,01000;189,25000;180,50000;106814960
23.10.2018;178,89000;181,00000;182,50000;177,02000;77903480
22.10.2018;184,86000;180,70000;187,72000;180,03000;92854160
19.10.2018;191,15000;183,80000;191,70000;183,80000;96950320
18.10.2018;193,50000;191,00000;194,20000;190,80000;49394850
17.10.2018;198,47000;194,05000;198,80000;192,92000;79027880
16.10.2018;190,02000;196,05000;196,20000;189,00000;64061080
15.10.2018;192,50000;190,92000;193,89000;189,45000;54220850
12.10.2018;187,80000;191,85000;192,16000;187,61000;63093510
11.10.2018;184,85000;185,27000;187,83000;182,30000;125364360
10.10.2018;192,00000;189,89000;195,12000;188,81000;67336620
09.10.2018;193,50000;191,25000;196,04000;188,70000;86121280
08.10.2018;187,00000;191,85000;193,60000;182,51000;82502650
05.10.2018;188,99000;187,20000;191,59000;185,05000;103279820
04.10.2018;197,91000;189,35000;198,19000;189,25000;87451180
03.10.2018;200,00000;198,30000;202,47000;196,85000;76679890
02.10.2018;205,16000;199,50000;205,98000;198,62000;79003430
01.10.2018;204,50000;204,20000;205,25000;201,71000;55013680
28.09.2018;204,93000;203,32000;205,67000;200,10000;101839410
27.09.2018;195,00000;204,10000;204,10000;194,56000;101333900
26.09.2018;195,52000;195,79000;197,40000;193,59000;61988530
25.09.2018;199,70000;195,55000;201,00000;195,06000;90058270
24.09.2018;194,60000;198,75000;199,06000;194,29000;76000500
21.09.2018;191,16000;193,44000;194,68000;188,83000;109182050
20.09.2018;194,30000;191,16000;197,73000;191,16000;133004440
19.09.2018;192,30000;193,90000;193,97000;191,47000;61065690
18.09.2018;188,30000;191,65000;192,69000;186,51000;83601870
17.09.2018;190,00000;188,11000;192,07000;186,60000;67025000
14.09.2018;185,00000;188,71000;189,00000;182,53000;127908270
13.09.2018;174,50000;183,50000;189,04000;174,50000;194912360
12.09.2018;170,20000;173,90000;175,19000;169,40000;93574140
11.09.2018;171,23000;169,36000;172,67000;165,90000;93278700
10.09.2018;175,03000;171,21000;175,97000;169,85000;77730540
07.09.2018;175,47000;174,90000;177,45000;173,85000;68532820
06.09.2018;177,25000;175,00000;180,18000;175,00000;49419910
